"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"61",62,68,0.981861046859066,0.067419818886693,0.854184368961077,0.873616700200637,0.935287712326721,0.980641657712776,1.02646920598415,1.09534592238457,1.11832107509051
"62",63,69,0.974107001332395,0.0678389740328909,0.845854734629607,0.865582839784748,0.927577305852875,0.972431928791893,1.01904603081498,1.08856393479804,1.11162389499541
"63",64,70,0.972171346061021,0.0684879522214858,0.842761321777226,0.862362060642421,0.925148684946585,0.970459440300249,1.01720881555741,1.08758259203633,1.11108844536161
"64",65,71,1.03508078704574,0.0713150383535384,0.90068623414347,0.920924663257033,0.986024752336553,1.03330473909957,1.08247168592592,1.15517539122536,1.1794809447707
"65",66,72,1.0402039492597,0.069751950809869,0.907648585124549,0.928067167702992,0.99227257870416,1.03876078021835,1.08630291781172,1.15753804747195,1.18125463249375
"66",67,73,1.086892558465,0.0710867836171446,0.952035020462953,0.972536773310015,1.0380350879863,1.0853777282495,1.13410630976318,1.20604953987386,1.23038756767723
"67",68,74,1.07239033580627,0.0714901947452404,0.936958871985594,0.957674213168979,1.02336020756366,1.07079118775422,1.11979579137321,1.19274308045403,1.21682151950524
"68",69,75,1.09805859078895,0.0722113187849306,0.961760901181328,0.982459325233009,1.04833259897899,1.09645553543076,1.14587760400161,1.21955724164762,1.24404157124005
"69",70,76,1.13073738696964,0.0747525420800051,0.988567886572407,1.01057373939744,1.07931679974039,1.12923622828452,1.18041120944327,1.25608234177294,1.28150699237909
"70",71,77,1.14082476732315,0.0779652389835624,0.993923794493385,1.0160944167409,1.08697376481071,1.13883668161472,1.19255115985196,1.27198628972066,1.29868409837399
"71",72,78,1.14826736062019,0.0801895455282333,0.99682354318308,1.01964654926418,1.09266675872567,1.14650210718299,1.20161083593449,1.28356118396118,1.31035108384301
"72",73,79,1.10454467234532,0.0793259703463655,0.955303310583372,0.977324868555077,1.0491771221026,1.10266977914419,1.15775879937912,1.23830465520457,1.2641920891229
"73",74,80,1.05301687062972,0.0730643215611905,0.916436382220063,0.936507965994109,1.00227367464263,1.05080293347805,1.10142853680271,1.1766823002252,1.20182144978161
"74",75,81,1.11294433531543,0.0703210488156555,0.980232342585179,1.00069457786272,1.06445636723546,1.11105627779979,1.15961309975965,1.23160863460908,1.2560960111215
"75",76,82,1.1275477899946,0.0730376385566601,0.98963467130887,1.0106402029015,1.07703904710889,1.12592851365232,1.17608315663737,1.25060356147707,1.27514935158109
"76",77,83,1.11139565900369,0.07418800019915,0.97113304265413,0.992351000816122,1.06022564599078,1.10977003643782,1.16068739611022,1.23649872331645,1.26136770322649
"77",78,84,1.14813722927262,0.0741091194070652,1.00869687715685,1.02953030766207,1.09680510629486,1.14614847287915,1.19747354170505,1.27322891859573,1.29859788015415
"78",79,85,1.09114584912154,0.0745298663652766,0.95101692699516,0.971717360743178,1.0389946126501,1.08933137699786,1.14119128732971,1.21651976313814,1.2414099333906
"79",80,86,1.09174438901265,0.0698801016962021,0.960344262614067,0.980235227833,1.04339526581081,1.08985876452924,1.13784982723799,1.2104215762427,1.23366864825175
"80",81,87,1.14391038287931,0.0700357398174971,1.01199328898991,1.03181420862444,1.0954334210649,1.14202215169842,1.19056399755317,1.26216375955693,1.28584489643493
"81",82,88,1.06133583497377,0.07050256354839,0.928625077832405,0.948177306339209,1.01230424877625,1.05972225315347,1.10874151557759,1.17985070131424,1.2031108899853
"82",83,89,1.01809625839212,0.0629701169886281,0.899581180658931,0.917546243856274,0.974737726073808,1.01621344067794,1.05957153098401,1.12469229233305,1.14624762319113
"83",84,90,1.05145358946111,0.0605691249268231,0.936689934037344,0.954188283999689,1.00995469412093,1.05006066328092,1.0915847399545,1.15371605571495,1.17417761610104
"84",85,91,1.02843742395577,0.0600875633963443,0.914107409847449,0.931557811314764,0.987228904349198,1.02731977823922,1.06812700633744,1.12951431550711,1.14969777528793
"85",86,92,1.06054114143049,0.0600148822610827,0.946191314092981,0.96383100954186,1.0194456807576,1.05940877776843,1.10029565678768,1.16104399331139,1.18172042256955
"86",87,93,1.09686442920781,0.06157669777156,0.979341867143962,0.997742737499035,1.05473279075131,1.09574050822286,1.13774637168123,1.19987072146933,1.22075016392409
"87",88,94,1.05325419803176,0.0623143133272007,0.934689377332181,0.952897608695558,1.01045793310031,1.05203397041759,1.09484770178236,1.15782808712185,1.17869546414251
"88",89,95,1.14575551847805,0.0629624503868806,1.02585178263692,1.04428743885395,1.10261967527062,1.14453112143733,1.18752889455422,1.25150093274809,1.27290804702911
"89",90,96,1.19877914752046,0.0715495786613876,1.06187476066759,1.08272501888438,1.14935500111029,1.19798728328928,1.24683824254672,1.31842561278022,1.34152313764038
"90",91,97,1.15794850417943,0.0791741425217604,1.00762475763801,1.02886768449701,1.10199865516652,1.15776947828593,1.21284297438874,1.28894549126247,1.31253750629619
"91",92,98,1.21103001811769,0.0792525902562404,1.06323465117199,1.08364822739087,1.1546145847504,1.20939993451935,1.26556179851659,1.34363846598199,1.36820509021642
"92",93,99,1.1941005818597,0.0855861030162583,1.03487061597812,1.05656727893386,1.13163449028244,1.19360926604028,1.25480773351293,1.33555363569812,1.3601967699376
"93",94,100,1.18077206614843,0.0842464005900494,1.02654069105267,1.04661143770414,1.11908032763687,1.17900172241395,1.240406630193,1.32177290235991,1.34634353095769
"94",95,101,1.18095751973264,0.0819803756945174,1.03122127779639,1.05156253648696,1.12111668293042,1.17852433155061,1.23849676253622,1.3188724709328,1.34376779968593
"95",96,102,1.12204766519829,0.0776333345257264,0.980183001858246,0.999271282746008,1.06525583532956,1.11971850431631,1.17643717404245,1.25259477218082,1.27629529886291
"96",97,103,1.12338033371652,0.0690657998377893,0.996405397343676,1.01434732683413,1.07440750472191,1.12080207685818,1.16991157740948,1.24110650321276,1.26340695688807
"97",98,104,1.14415831572333,0.0669300656660571,1.02010432969826,1.03795154757209,1.09704101684548,1.14163646283885,1.18948195779661,1.25782532385017,1.27940486332868
"98",99,105,1.07147386405818,0.0648302876532203,0.950560810157463,0.967752334056353,1.02564124411952,1.06981367212762,1.11569384738379,1.18082376515033,1.20160942163677
"99",100,106,1.09178046660025,0.0575836267219525,0.98400433110365,1.00010668205335,1.05164283029619,1.09012605544768,1.12997287844543,1.18926597163567,1.20858905719806
"100",101,107,1.05560806444856,0.0557261814348181,0.950169637532719,0.96607458827306,1.01714964329405,1.05425708464261,1.09270633464669,1.14931961329011,1.16790822264682
"101",102,108,1.05507183917497,0.0524264540890157,0.955830233899223,0.970931246911473,1.01907007093835,1.05377945210373,1.08986637950121,1.14330708117184,1.16089318710828
"102",103,109,1.06486490785253,0.0514605207827341,0.966666527181821,0.982177110704451,1.02943849462628,1.06408959063349,1.09906234060306,1.15106179277341,1.16828227248903
"103",104,110,1.05850885714878,0.05118588568902,0.961047497470185,0.976100563021084,1.02334817429008,1.05750555563165,1.09269566537474,1.14426809496137,1.16115303613102
"104",105,111,1.03205119028286,0.0499187681614269,0.937099098577749,0.951700149869231,0.997860297854261,1.03103680710567,1.06536641340537,1.11579095561024,1.13255274136932
"105",106,112,1.06411566411057,0.0491345874568849,0.969654579453154,0.984380692144181,1.0306953245292,1.06331981370829,1.09683510937837,1.14626487899516,1.16265247217723
"106",107,113,1.05091647505808,0.0496186379624203,0.955995364346449,0.970665943433732,1.01703278045495,1.04995289670254,1.08389211770058,1.1340397927447,1.15042837139051
"107",108,114,1.05157081063864,0.0490240759998414,0.957574832591804,0.971987202794988,1.01817285729782,1.05078644768555,1.08426187281399,1.13312803913061,1.14945886941892
"108",109,115,1.03333670818756,0.0483768225784484,0.940759019260857,0.955206536017793,1.00029770271067,1.0324782025318,1.06551136198337,1.11427530666196,1.13046752173515
"109",110,116,1.04061210883288,0.0476113189750217,0.94931247584697,0.963717655818175,1.00814271605383,1.03967380213272,1.07224447386416,1.12032647003326,1.13594693229861
